index,GRID_ID,score_lu,score_emp,score_est,score_ind,score_fac,fq
267,CC-82,0.0,1.0,1.0,0.0,0.0,0.75
268,CD-82,0.0,1.0,1.0,0.0,0.0,0.75
269,CE-82,0.0,1.0,1.0,0.0,0.0,0.75
270,CH-82,0.0,1.0,1.0,1.0,0.0,1.25
271,CI-82,0.0,1.0,1.0,0.0,0.0,0.75
272,CN-82,0.0,0.0,0.0,0.0,0.0,0.0
273,CO-82,0.0,0.0,0.0,0.0,0.0,0.0
274,CP-82,0.0,0.0,0.0,0.0,0.0,0.0
275,CT-82,0.0,1.0,0.0,0.0,0.0,0.5
276,CU-82,0.0,0.0,0.0,0.0,0.0,0.0
277,DH-82,0.0,0.0,0.0,0.0,0.0,0.0
278,DI-82,0.0,0.0,0.0,0.0,0.0,0.0
279,DJ-82,0.0,0.0,0.0,0.0,0.0,0.0
280,DK-82,0.0,0.0,0.0,0.0,0.0,0.0
281,DL-82,0.0,0.0,0.0,0.0,0.0,0.0
282,DM-82,0.0,0.0,0.0,0.0,0.0,0.0
283,DN-82,0.0,0.0,0.0,0.0,0.0,0.0
284,DO-82,0.0,0.0,0.0,0.0,0.0,0.0
285,DP-82,0.0,0.0,0.0,0.0,0.0,0.0
286,DQ-82,0.0,0.0,0.0,0.0,0.0,0.0
287,DR-82,0.0,0.0,0.0,0.0,0.0,0.0
288,DS-82,0.0,0.0,0.0,0.0,0.0,0.0
289,DT-82,0.0,0.0,0.0,0.0,0.0,0.0
290,DU-82,0.0,0.0,0.0,0.0,0.0,0.0
291,DV-82,0.0,0.0,0.0,0.0,0.0,0.0
292,DW-82,0.0,0.0,0.0,0.0,0.0,0.0
293,DX-82,0.0,0.0,0.0,0.0,0.0,0.0
294,DY-82,0.0,0.0,0.0,0.0,0.0,0.0
295,DZ-82,0.0,0.0,0.0,0.0,0.0,0.0
296,EA-82,0.0,0.0,0.0,0.0,0.0,0.0
297,EB-82,0.0,0.0,0.0,0.0,0.0,0.0
298,BP-81,0.0,0.0,0.0,0.0,0.0,0.0
299,BR-81,0.0,0.0,0.0,0.0,0.0,0.0
300,BT-81,0.0,0.0,0.0,0.0,0.0,0.0
301,BU-81,0.0,0.0,0.0,0.0,0.0,0.0
302,BY-81,1.0,1.0,1.0,0.0,0.0,1.05
303,CA-81,0.0,1.0,1.0,1.0,0.0,1.25
304,CB-81,0.0,1.0,2.0,1.0,0.0,1.5
305,CC-81,0.0,1.0,1.0,0.0,0.0,0.75
306,CF-81,0.0,1.0,1.0,0.0,0.0,0.75
307,CG-81,1.0,1.0,1.0,0.0,0.0,1.05
308,CH-81,0.0,1.0,1.0,0.0,0.0,0.75
309,CJ-81,0.0,1.0,2.0,0.0,0.0,1.0
310,CK-81,1.0,1.0,1.0,0.0,0.0,1.05
311,CL-81,1.0,1.0,1.0,1.0,0.0,1.55
312,CQ-81,0.0,0.0,0.0,0.0,0.0,0.0
313,CR-81,0.0,1.0,1.0,1.0,0.0,1.25
314,CT-81,0.0,1.0,0.0,0.0,0.0,0.5
315,CU-81,0.0,1.0,1.0,0.0,0.0,0.75
316,BY-80,1.0,1.0,1.0,0.0,0.0,1.05
317,CA-80,1.0,2.0,1.0,2.0,0.0,2.55
318,CC-80,1.0,1.0,1.0,1.0,0.0,1.55
319,CF-80,0.0,1.0,1.0,0.0,0.0,0.75
320,CG-80,0.0,1.0,1.0,0.0,0.0,0.75
321,CH-80,0.0,1.0,1.0,1.0,0.0,1.25
